timestamp,index,utilization.gpu,utilization.memory,memory.used,memory.total,power.draw
2026/05/28 11:37:13.192, 0, 0, 0, 0, 143771, 77.70
2026/05/28 11:37:18.220, 0, 0, 0, 0, 143771, 77.67
2026/05/28 11:37:23.248, 0, 0, 0, 0, 143771, 77.59
2026/05/28 11:37:28.369, 0, 0, 0, 12, 143771, 77.63
2026/05/28 11:37:33.423, 0, 0, 0, 1071, 143771, 119.78
2026/05/28 11:37:38.451, 0, 7, 1, 1415, 143771, 139.28
2026/05/28 11:37:43.478, 0, 6, 1, 1415, 143771, 139.16
2026/05/28 11:37:48.505, 0, 6, 1, 1415, 143771, 135.43
2026/05/28 11:37:53.532, 0, 22, 0, 1415, 143771, 124.03
2026/05/28 11:37:58.559, 0, 22, 0, 1415, 143771, 123.81
2026/05/28 11:38:03.585, 0, 22, 0, 1415, 143771, 123.79
2026/05/28 11:38:08.613, 0, 22, 0, 1415, 143771, 123.63
2026/05/28 11:38:13.641, 0, 22, 0, 1415, 143771, 123.61
2026/05/28 11:38:18.667, 0, 22, 0, 1415, 143771, 123.70
2026/05/28 11:38:23.695, 0, 22, 0, 1415, 143771, 123.62
2026/05/28 11:38:28.721, 0, 23, 0, 1415, 143771, 123.64
2026/05/28 11:38:33.748, 0, 23, 0, 1415, 143771, 123.67
2026/05/28 11:38:38.774, 0, 22, 0, 1415, 143771, 123.68
2026/05/28 11:38:43.800, 0, 22, 0, 1415, 143771, 123.49
2026/05/28 11:38:48.827, 0, 22, 0, 1415, 143771, 123.42
2026/05/28 11:38:53.854, 0, 22, 0, 1415, 143771, 123.43
2026/05/28 11:38:58.885, 0, 22, 0, 1415, 143771, 123.39
2026/05/28 11:39:03.910, 0, 22, 0, 1415, 143771, 123.43
2026/05/28 11:39:08.938, 0, 23, 0, 1415, 143771, 123.36
2026/05/28 11:39:13.964, 0, 22, 0, 1415, 143771, 123.40
2026/05/28 11:39:18.991, 0, 23, 0, 1415, 143771, 123.32
2026/05/28 11:39:24.017, 0, 22, 0, 1415, 143771, 123.32
2026/05/28 11:39:29.043, 0, 23, 0, 1415, 143771, 123.31
2026/05/28 11:39:34.069, 0, 22, 0, 1415, 143771, 123.33
2026/05/28 11:39:39.095, 0, 23, 0, 1415, 143771, 123.41
2026/05/28 11:39:44.122, 0, 22, 0, 1415, 143771, 123.25
