2026/05/28 11:08:44.632, 0, 0, 0, 0, 143771, 77.90
2026/05/28 11:08:49.660, 0, 0, 0, 0, 143771, 77.81
2026/05/28 11:08:54.688, 0, 0, 0, 529, 143771, 119.28
2026/05/28 11:08:59.718, 0, 7, 0, 925, 143771, 127.58
2026/05/28 11:09:04.744, 0, 23, 0, 925, 143771, 120.03
2026/05/28 11:09:09.771, 0, 24, 0, 925, 143771, 120.10
2026/05/28 11:09:14.797, 0, 24, 0, 925, 143771, 120.50
2026/05/28 11:09:19.823, 0, 24, 0, 925, 143771, 120.52
2026/05/28 11:09:24.850, 0, 24, 0, 925, 143771, 120.46
2026/05/28 11:09:29.877, 0, 24, 0, 925, 143771, 120.29
2026/05/28 11:09:34.904, 0, 24, 0, 925, 143771, 120.35
2026/05/28 11:09:39.929, 0, 24, 0, 925, 143771, 120.24
2026/05/28 11:09:44.956, 0, 24, 0, 925, 143771, 120.27
2026/05/28 11:09:49.983, 0, 24, 0, 925, 143771, 120.16
2026/05/28 11:09:55.011, 0, 0, 0, 925, 143771, 119.22
