timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/05/29 14:10:19.854, 0, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.29 W
2026/05/29 14:10:19.858, 1, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 75.94 W
2026/05/29 14:10:19.861, 2, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 77.60 W
2026/05/29 14:10:19.864, 3, NVIDIA H200, 0 %, 0 %, 0 MiB, 143771 MiB, 76.67 W
2026/05/29 14:10:29.867, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 119.27 W
2026/05/29 14:10:29.867, 1, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 118.18 W
2026/05/29 14:10:29.868, 2, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 120.10 W
2026/05/29 14:10:29.868, 3, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 117.12 W
2026/05/29 14:10:39.868, 0, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 176.57 W
2026/05/29 14:10:39.869, 1, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 288.45 W
2026/05/29 14:10:39.869, 2, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 133.93 W
2026/05/29 14:10:39.869, 3, NVIDIA H200, 0 %, 0 %, 7577 MiB, 143771 MiB, 133.72 W
